work_order_number,sales_order_number,sales_order_line,work_unit_name,work_unit_description,unit_type,work_unit_qty,item_rate,total_rate
WO-35000140,SO-900140,SOL-1500624,ACA02A-ESE22,Buried cable design footage,Foot,275,0.27,74.25
WO-35000140,SO-900140,SOL-1500625,POL00A-ESE22,Pole loading analysis,Pole,1,22.5,22.5
WO-35000141,SO-900141,SOL-1500626,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000141,SO-900141,SOL-1500627,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000141,SO-900141,SOL-1500628,ACA02A-ESE22,Buried cable design footage,Foot,671,0.27,181.17
WO-35000141,SO-900141,SOL-1500629,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000142,SO-900142,SOL-1500630,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000142,SO-900142,SOL-1500631,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000142,SO-900142,SOL-1500632,ACA00A-ESE22,Aerial cable design footage,Foot,479,0.36,172.44
WO-35000142,SO-900142,SOL-1500633,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000142,SO-900142,SOL-1500634,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000143,SO-900143,SOL-1500635,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000143,SO-900143,SOL-1500636,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000143,SO-900143,SOL-1500637,ACA00A-ESE22,Aerial cable design footage,Foot,601,0.36,216.36
WO-35000143,SO-900143,SOL-1500638,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000143,SO-900143,SOL-1500639,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000144,SO-900144,SOL-1500640,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000144,SO-990144,SOL-1500641,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000144,SO-990144,SOL-1500642,ACA00A-ESE22,Aerial cable design footage,Foot,376,0.36,135.36
WO-35000144,SO-990144,SOL-1500643,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000144,SO-990144,SOL-1500644,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000144,SO-990144,SOL-1500645,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000145,SO-900145,SOL-1500646,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000145,SO-900145,SOL-1500647,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000145,SO-900145,SOL-1500648,ACA00A-ESE22,Aerial cable design footage,Foot,533,0.36,191.88
WO-35000145,SO-900145,SOL-1500649,ACA02A-ESE22,Buried cable design footage,Foot,808,0.27,218.16
WO-35000145,SO-900145,SOL-1500650,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000146,SO-900146,SOL-1500651,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000146,SO-990146,SOL-1500652,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000146,SO-990146,SOL-1500653,ACA00A-ESE22,Aerial cable design footage,Foot,578,0.36,208.08
WO-35000146,SO-990146,SOL-1500654,ACA02A-ESE22,Buried cable design footage,Foot,1038,0.27,280.26
WO-35000146,SO-990146,SOL-1500655,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000146,SO-990146,SOL-1500656,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000147,SO-900147,SOL-1500657,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000147,SO-900147,SOL-1500658,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000147,SO-900147,SOL-1500659,ACA00A-ESE22,Aerial cable design footage,Foot,1391,0.36,500.76
WO-35000147,SO-900147,SOL-1500660,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000147,SO-900147,SOL-1500661,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000148,SO-900148,SOL-1500662,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000148,SO-900148,SOL-1500663,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000148,SO-900148,SOL-1500664,ACA00A-ESE22,Aerial cable design footage,Foot,1575,0.36,567.0
WO-35000148,SO-900148,SOL-1500665,POL00A-ESE22,Pole loading analysis,Pole,16,22.5,360.0
WO-35000149,SO-900149,SOL-1500666,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000149,SO-900149,SOL-1500667,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000149,SO-900149,SOL-1500668,ACA02A-ESE22,Buried cable design footage,Foot,899,0.27,242.73
WO-35000150,SO-900150,SOL-1500669,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000150,SO-900150,SOL-1500670,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000150,SO-900150,SOL-1500671,ACA00A-ESE22,Aerial cable design footage,Foot,1311,0.36,471.96
WO-35000150,SO-900150,SOL-1500672,POL00A-ESE22,Pole loading analysis,Pole,4,22.5,90.0
WO-35000151,SO-900151,SOL-1500673,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000151,SO-900151,SOL-1500674,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000151,SO-900151,SOL-1500675,ACA00A-ESE22,Aerial cable design footage,Foot,1587,0.36,571.32
WO-35000151,SO-900151,SOL-1500676,ACA02A-ESE22,Buried cable design footage,Foot,1317,0.27,355.59
WO-35000151,SO-900151,SOL-1500677,POL00A-ESE22,Pole loading analysis,Pole,16,22.5,360.0
WO-35000151,SO-900151,SOL-1500678,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000152,SO-900152,SOL-1500679,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000152,SO-900152,SOL-1500680,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000152,SO-900152,SOL-1500681,ACA00A-ESE22,Aerial cable design footage,Foot,407,0.36,146.52
WO-35000152,SO-900152,SOL-1500682,POL00A-ESE22,Pole loading analysis,Pole,8,22.5,180.0
WO-35000153,SO-900153,SOL-1500683,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000153,SO-900153,SOL-1500684,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000153,SO-900153,SOL-1500685,ACA00A-ESE22,Aerial cable design footage,Foot,1331,0.36,479.16
WO-35000154,SO-900154,SOL-1500686,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000154,SO-900154,SOL-1500687,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000154,SO-900154,SOL-1500688,ACA00A-ESE22,Aerial cable design footage,Foot,1325,0.36,477.0
WO-35000155,SO-900155,SOL-1500689,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000155,SO-900155,SOL-1500690,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000155,SO-900155,SOL-1500691,ACA00A-ESE22,Aerial cable design footage,Foot,764,0.36,275.04
WO-35000155,SO-900155,SOL-1500692,POL00A-ESE22,Pole loading analysis,Pole,13,22.5,292.5
WO-35000156,SO-900156,SOL-1500693,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000156,SO-900156,SOL-1500694,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000156,SO-900156,SOL-1500695,ACA00A-ESE22,Aerial cable design footage,Foot,727,0.36,261.72
WO-35000156,SO-900156,SOL-1500696,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000156,SO-900156,SOL-1500697,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000156,SO-900156,SOL-1500698,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000157,SO-900157,SOL-1500699,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000157,SO-900157,SOL-1500700,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000157,SO-900157,SOL-1500701,ACA00A-ESE22,Aerial cable design footage,Foot,1133,0.36,407.88
WO-35000157,SO-900157,SOL-1500702,ACA02A-ESE22,Buried cable design footage,Foot,1137,0.27,306.99
WO-35000157,SO-900157,SOL-1500703,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000157,SO-900157,SOL-1500704,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000158,SO-900158,SOL-1500705,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000158,SO-990158,SOL-1500706,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000158,SO-990158,SOL-1500707,ACA00A-ESE22,Aerial cable design footage,Foot,1308,0.36,470.88
WO-35000158,SO-990158,SOL-1500708,ACA02A-ESE22,Buried cable design footage,Foot,1238,0.27,334.26
WO-35000158,SO-990158,SOL-1500709,POL00A-ESE22,Pole loading analysis,Pole,13,22.5,292.5
WO-35000159,SO-900159,SOL-1500710,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000159,SO-900159,SOL-1500711,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000159,SO-900159,SOL-1500712,ACA00A-ESE22,Aerial cable design footage,Foot,807,0.36,290.52
WO-35000159,SO-900159,SOL-1500713,POL00A-ESE22,Pole loading analysis,Pole,17,22.5,382.5
WO-35000159,SO-900159,SOL-1500714,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000159,SO-900159,SOL-1500715,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000160,SO-900160,SOL-1500716,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000160,SO-900160,SOL-1500717,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000160,SO-900160,SOL-1500718,ACA00A-ESE22,Aerial cable design footage,Foot,367,0.36,132.12
WO-35000160,SO-900160,SOL-1500719,ACA02A-ESE22,Buried cable design footage,Foot,472,0.27,127.44
WO-35000161,SO-900161,SOL-1500720,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000161,SO-900161,SOL-1500721,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000161,SO-900161,SOL-1500722,ACA00A-ESE22,Aerial cable design footage,Foot,1527,0.36,549.72
WO-35000161,SO-900161,SOL-1500723,POL00A-ESE22,Pole loading analysis,Pole,3,22.5,67.5
WO-35000161,SO-900161,SOL-1500724,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000162,SO-900162,SOL-1500725,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000162,SO-900162,SOL-1500726,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000162,SO-900162,SOL-1500727,ACA00A-ESE22,Aerial cable design footage,Foot,1037,0.36,373.32
WO-35000163,SO-900163,SOL-1500728,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000163,SO-900163,SOL-1500729,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000163,SO-900163,SOL-1500730,ACA00A-ESE22,Aerial cable design footage,Foot,1244,0.36,447.84
WO-35000163,SO-900163,SOL-1500731,POL00A-ESE22,Pole loading analysis,Pole,2,22.5,45.0
WO-35000164,SO-900164,SOL-1500732,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000164,SO-900164,SOL-1500733,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000164,SO-900164,SOL-1500734,ACA00A-ESE22,Aerial cable design footage,Foot,460,0.36,165.6
WO-35000164,SO-900164,SOL-1500735,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000164,SO-900164,SOL-1500736,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000165,SO-900165,SOL-1500737,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000165,SO-900165,SOL-1500738,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000165,SO-900165,SOL-1500739,ACA00A-ESE22,Aerial cable design footage,Foot,1265,0.36,455.4
WO-35000165,SO-900165,SOL-1500740,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000166,SO-900166,SOL-1500741,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000166,SO-900166,SOL-1500742,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000166,SO-900166,SOL-1500743,ACA00A-ESE22,Aerial cable design footage,Foot,927,0.36,333.72
WO-35000166,SO-900166,SOL-1500744,POL00A-ESE22,Pole loading analysis,Pole,13,22.5,292.5
WO-35000166,SO-900166,SOL-1500745,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000167,SO-900167,SOL-1500746,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000167,SO-900167,SOL-1500747,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000167,SO-900167,SOL-1500748,ACA00A-ESE22,Aerial cable design footage,Foot,354,0.36,127.44
WO-35000167,SO-900167,SOL-1500749,ACA02A-ESE22,Buried cable design footage,Foot,108,0.27,29.16
WO-35000167,SO-900167,SOL-1500750,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000168,SO-900168,SOL-1500751,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000168,SO-900168,SOL-1500752,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000168,SO-900168,SOL-1500753,ACA00A-ESE22,Aerial cable design footage,Foot,1428,0.36,514.08
WO-35000168,SO-900168,SOL-1500754,POL00A-ESE22,Pole loading analysis,Pole,12,22.5,270.0
WO-35000168,SO-900168,SOL-1500755,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000169,SO-900169,SOL-1500756,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000169,SO-900169,SOL-1500757,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000169,SO-900169,SOL-1500758,ACA00A-ESE22,Aerial cable design footage,Foot,1047,0.36,376.92
WO-35000169,SO-900169,SOL-1500759,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000169,SO-900169,SOL-1500760,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000170,SO-900170,SOL-1500761,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000170,SO-900170,SOL-1500762,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000170,SO-900170,SOL-1500763,ACA02A-ESE22,Buried cable design footage,Foot,855,0.27,230.85
WO-35000171,SO-900171,SOL-1500764,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000171,SO-900171,SOL-1500765,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000171,SO-900171,SOL-1500766,ACA00A-ESE22,Aerial cable design footage,Foot,1099,0.36,395.64
WO-35000171,SO-900171,SOL-1500767,ACA02A-ESE22,Buried cable design footage,Foot,303,0.27,81.81
WO-35000171,SO-900171,SOL-1500768,POL00A-ESE22,Pole loading analysis,Pole,11,22.5,247.5
WO-35000171,SO-900171,SOL-1500769,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000172,SO-900172,SOL-1500770,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000172,SO-900172,SOL-1500771,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000172,SO-900172,SOL-1500772,ACA00A-ESE22,Aerial cable design footage,Foot,987,0.36,355.32
WO-35000172,SO-900172,SOL-1500773,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000173,SO-900173,SOL-1500774,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000173,SO-900173,SOL-1500775,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000173,SO-900173,SOL-1500776,ACA00A-ESE22,Aerial cable design footage,Foot,1053,0.36,379.08
WO-35000173,SO-900173,SOL-1500777,ACA02A-ESE22,Buried cable design footage,Foot,568,0.27,153.36
WO-35000173,SO-900173,SOL-1500778,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000174,SO-900174,SOL-1500779,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000174,SO-900174,SOL-1500780,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000174,SO-900174,SOL-1500781,ACA02A-ESE22,Buried cable design footage,Foot,380,0.27,102.6
WO-35000174,SO-900174,SOL-1500782,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000175,SO-900175,SOL-1500783,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000175,SO-990175,SOL-1500784,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000175,SO-990175,SOL-1500785,ACA02A-ESE22,Buried cable design footage,Foot,743,0.27,200.61
WO-35000176,SO-900176,SOL-1500786,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000176,SO-900176,SOL-1500787,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000176,SO-900176,SOL-1500788,ACA00A-ESE22,Aerial cable design footage,Foot,790,0.36,284.4
WO-35000176,SO-900176,SOL-1500789,ACA02A-ESE22,Buried cable design footage,Foot,432,0.27,116.64
WO-35000177,SO-900177,SOL-1500790,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000177,SO-900177,SOL-1500791,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000177,SO-900177,SOL-1500792,ACA00A-ESE22,Aerial cable design footage,Foot,1022,0.36,367.92
WO-35000177,SO-900177,SOL-1500793,ACA02A-ESE22,Buried cable design footage,Foot,440,0.27,118.8
WO-35000177,SO-900177,SOL-1500794,POL00A-ESE22,Pole loading analysis,Pole,6,22.5,135.0
WO-35000178,SO-900178,SOL-1500795,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000178,SO-900178,SOL-1500796,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000178,SO-900178,SOL-1500797,ACA02A-ESE22,Buried cable design footage,Foot,1360,0.27,367.2
WO-35000179,SO-900179,SOL-1500798,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000179,SO-900179,SOL-1500799,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000179,SO-900179,SOL-1500800,ACA00A-ESE22,Aerial cable design footage,Foot,376,0.36,135.36
WO-35000180,SO-900180,SOL-1500801,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000180,SO-900180,SOL-1500802,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000180,SO-900180,SOL-1500803,ACA00A-ESE22,Aerial cable design footage,Foot,310,0.36,111.6
WO-35000180,SO-900180,SOL-1500804,ACA02A-ESE22,Buried cable design footage,Foot,589,0.27,159.03
WO-35000181,SO-900181,SOL-1500805,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000181,SO-900181,SOL-1500806,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000181,SO-900181,SOL-1500807,ACA00A-ESE22,Aerial cable design footage,Foot,371,0.36,133.56
WO-35000181,SO-900181,SOL-1500808,POL00A-ESE22,Pole loading analysis,Pole,1,22.5,22.5
WO-35000181,SO-900181,SOL-1500809,PRM00A-ESE22,Permit package,Each,1,145.0,145.0
WO-35000181,SO-900181,SOL-1500810,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000182,SO-900182,SOL-1500811,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000182,SO-900182,SOL-1500812,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000182,SO-900182,SOL-1500813,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000182,SO-900182,SOL-1500814,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000183,SO-900183,SOL-1500815,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000183,SO-900183,SOL-1500816,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000183,SO-900183,SOL-1500817,ACA00A-ESE22,Aerial cable design footage,Foot,387,0.36,139.32
WO-35000183,SO-900183,SOL-1500818,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000184,SO-900184,SOL-1500819,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000184,SO-900184,SOL-1500820,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000184,SO-900184,SOL-1500821,ACA00A-ESE22,Aerial cable design footage,Foot,532,0.36,191.52
WO-35000184,SO-900184,SOL-1500822,POL00A-ESE22,Pole loading analysis,Pole,14,22.5,315.0
WO-35000185,SO-900185,SOL-1500823,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000185,SO-990185,SOL-1500824,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000185,SO-990185,SOL-1500825,ACA00A-ESE22,Aerial cable design footage,Foot,1160,0.36,417.6
WO-35000185,SO-990185,SOL-1500826,ACA02A-ESE22,Buried cable design footage,Foot,1190,0.27,321.3
WO-35000185,SO-990185,SOL-1500827,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000186,SO-900186,SOL-1500828,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000186,SO-900186,SOL-1500829,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000186,SO-900186,SOL-1500830,ACA00A-ESE22,Aerial cable design footage,Foot,1374,0.36,494.64
WO-35000186,SO-900186,SOL-1500831,POL00A-ESE22,Pole loading analysis,Pole,15,22.5,337.5
WO-35000187,SO-900187,SOL-1500832,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000187,SO-900187,SOL-1500833,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000187,SO-900187,SOL-1500834,ACA02A-ESE22,Buried cable design footage,Foot,676,0.27,182.52
WO-35000188,SO-900188,SOL-1500835,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000188,SO-900188,SOL-1500836,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000188,SO-900188,SOL-1500837,ACA00A-ESE22,Aerial cable design footage,Foot,721,0.36,259.56
WO-35000188,SO-900188,SOL-1500838,ACA02A-ESE22,Buried cable design footage,Foot,469,0.27,126.63
WO-35000188,SO-900188,SOL-1500839,POL00A-ESE22,Pole loading analysis,Pole,3,22.5,67.5
WO-35000189,SO-900189,SOL-1500840,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000189,SO-900189,SOL-1500841,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000189,SO-900189,SOL-1500842,ACA00A-ESE22,Aerial cable design footage,Foot,559,0.36,201.24
WO-35000189,SO-900189,SOL-1500843,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000190,SO-900190,SOL-1500844,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000190,SO-900190,SOL-1500845,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000190,SO-900190,SOL-1500846,ACA02A-ESE22,Buried cable design footage,Foot,224,0.27,60.48
WO-35000190,SO-900190,SOL-1500847,FQC00A-ESE22,Field quality control,Each,2,65.0,130.0
WO-35000191,SO-900191,SOL-1500848,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000191,SO-900191,SOL-1500849,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000191,SO-900191,SOL-1500850,ACA00A-ESE22,Aerial cable design footage,Foot,990,0.36,356.4
WO-35000191,SO-900191,SOL-1500851,ACA02A-ESE22,Buried cable design footage,Foot,414,0.27,111.78
WO-35000191,SO-900191,SOL-1500852,POL00A-ESE22,Pole loading analysis,Pole,14,22.5,315.0
WO-35000192,SO-900192,SOL-1500853,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000192,SO-900192,SOL-1500854,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000192,SO-900192,SOL-1500855,ACA00A-ESE22,Aerial cable design footage,Foot,206,0.36,74.16
WO-35000192,SO-900192,SOL-1500856,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000193,SO-900193,SOL-1500857,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000193,SO-990193,SOL-1500858,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000193,SO-990193,SOL-1500859,ACA00A-ESE22,Aerial cable design footage,Foot,1590,0.36,572.4
WO-35000193,SO-990193,SOL-1500860,POL00A-ESE22,Pole loading analysis,Pole,10,22.5,225.0
WO-35000194,SO-900194,SOL-1500861,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000194,SO-900194,SOL-1500862,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000194,SO-900194,SOL-1500863,ACA02A-ESE22,Buried cable design footage,Foot,868,0.27,234.36
WO-35000194,SO-900194,SOL-1500864,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000195,SO-900195,SOL-1500865,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000195,SO-900195,SOL-1500866,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000195,SO-900195,SOL-1500867,ACA00A-ESE22,Aerial cable design footage,Foot,508,0.36,182.88
WO-35000195,SO-900195,SOL-1500868,POL00A-ESE22,Pole loading analysis,Pole,18,22.5,405.0
WO-35000195,SO-900195,SOL-1500869,PRM00A-ESE22,Permit package,Each,3,145.0,435.0
WO-35000195,SO-900195,SOL-1500870,FQC00A-ESE22,Field quality control,Each,1,65.0,65.0
WO-35000196,SO-900196,SOL-1500871,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000196,SO-900196,SOL-1500872,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000196,SO-900196,SOL-1500873,ACA02A-ESE22,Buried cable design footage,Foot,1380,0.27,372.6
WO-35000196,SO-900196,SOL-1500874,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000197,SO-900197,SOL-1500875,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000197,SO-900197,SOL-1500876,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000197,SO-900197,SOL-1500877,ACA00A-ESE22,Aerial cable design footage,Foot,1534,0.36,552.24
WO-35000197,SO-900197,SOL-1500878,POL00A-ESE22,Pole loading analysis,Pole,8,22.5,180.0
WO-35000198,SO-900198,SOL-1500879,ESU00A-ESE22,Engineering setup,Each,1,306.72,306.72
WO-35000198,SO-900198,SOL-1500880,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
WO-35000198,SO-900198,SOL-1500881,ACA00A-ESE22,Aerial cable design footage,Foot,343,0.36,123.48
WO-35000198,SO-900198,SOL-1500882,POL00A-ESE22,Pole loading analysis,Pole,9,22.5,202.5
WO-35000198,SO-900198,SOL-1500883,PRM00A-ESE22,Permit package,Each,2,145.0,290.0
WO-35000199,SO-900199,SOL-1500884,ESU00A-ESE22,Engineering setup,Each,2,306.72,613.44
WO-35000199,SO-900199,SOL-1500885,ICP00A-ESE22,Intake and close package,Each,1,359.1,359.1
